,Ano,Mes,DeptoOrigen,CantidadUnidades,ValorMilespesos,Toneladas,date
337,2014,May,Bogota,3780046,33058687,3780,May 2014
338,2014,May,Caldas,11129185,110643152,11129,May 2014
339,2014,May,Quindio,4003734,31188853,4004,May 2014
340,2014,May,Risaralda,9581033,76955134,9581,May 2014
341,2014,May,Tolima,4162287,35076026,4162,May 2014
342,2014,Nov,Antioquia,7388708,91487849,7389,Nov 2014
343,2014,Nov,Bogota,4952427,49482791,4952,Nov 2014
344,2014,Nov,Caldas,10242238,115606251,10242,Nov 2014
345,2014,Nov,Quindio,7153010,69042090,7153,Nov 2014
346,2014,Nov,Risaralda,11229103,103407596,11229,Nov 2014
347,2014,Nov,Tolima,2965985,29903265,2966,Nov 2014
348,2014,Oct,Antioquia,5163639,59075089,5164,Oct 2014
349,2014,Oct,Bogota,2089266,21193684,2089,Oct 2014
350,2014,Oct,Caldas,9052227,100537285,9052,Oct 2014
351,2014,Oct,Quindio,6486450,60808932,6486,Oct 2014
352,2014,Oct,Risaralda,11159915,97436725,11160,Oct 2014
353,2014,Oct,Tolima,3618245,32573276,3618,Oct 2014
354,2014,Sep,Antioquia,3160198,37089998,3160,Sep 2014
355,2014,Sep,Bogota,4420612,39425870,4421,Sep 2014
356,2014,Sep,Caldas,7770657,82593408,7771,Sep 2014
357,2014,Sep,Quindio,5416309,47487360,5416,Sep 2014
358,2014,Sep,Risaralda,7669074,61049578,7669,Sep 2014
359,2014,Sep,Tolima,3180266,26467410,3180,Sep 2014
360,2015,Apr,Antioquia,9196925,103470293,9197,Apr 2015
361,2015,Apr,Bogota,5196148,47794716,5196,Apr 2015
362,2015,Apr,Caldas,6920363,84852859,6920,Apr 2015
363,2015,Apr,Quindio,4598446,42861910,4598,Apr 2015
364,2015,Apr,Risaralda,6797481,58582043,6797,Apr 2015
365,2015,Apr,Tolima,2561100,30491365,2561,Apr 2015
366,2015,Aug,Antioquia,9018427,107398344,9018,Aug 2015
367,2015,Aug,Bogota,2685499,28577416,2685,Aug 2015
368,2015,Aug,Caldas,9887353,119379945,9887,Aug 2015
369,2015,Aug,Quindio,6195564,61581962,6196,Aug 2015
370,2015,Aug,Risaralda,11558770,116328706,11559,Aug 2015
371,2015,Aug,Tolima,2526684,34460828,2527,Aug 2015
372,2015,Dec,Antioquia,9112830,116336557,9113,Dec 2015
373,2015,Dec,Bogota,3767320,39556770,3767,Dec 2015
374,2015,Dec,Caldas,9934205,112022444,9934,Dec 2015
375,2015,Dec,Quindio,6764650,65603178,6765,Dec 2015
376,2015,Dec,Risaralda,13695702,132522216,13696,Dec 2015
377,2015,Dec,Tolima,2816052,34777234,2816,Dec 2015
378,2015,Jan,Antioquia,9869546,116405741,9870,Jan 2015
379,2015,Jan,Bogota,5152601,57392797,5153,Jan 2015
380,2015,Jan,Caldas,9632497,126590919,9632,Jan 2015
381,2015,Jan,Quindio,7605559,80982436,7606,Jan 2015
382,2015,Jan,Risaralda,11641915,119445843,11642,Jan 2015
383,2015,Jan,Tolima,3315798,35989565,3316,Jan 2015
384,2015,Feb,Antioquia,12531874,138640051,12532,Feb 2015
